Date	Price	Open	High	Low	Vol.	Change %
2016/11/28	125.64	125.36	125.73	125.31	2.51M	0.35
2016/11/25	125.2	125.38	125.39	124.8	1.48M	0.06
2016/11/24	125.12	125.34	125.37	125.09	0	-0.19
2016/11/23	125.36	125.72	125.92	124.86	3.08M	-0.27
2016/11/22	125.7	125.8	125.97	125.55	2.26M	0.12
2016/11/21	125.55	125.38	125.88	125.31	1.64M	-0.01
2016/11/18	125.56	125.84	126.16	125.31	1.91M	-0.41
2016/11/17	126.08	126.5	126.77	125.83	1.61M	-0.31
2016/11/16	126.47	126.58	126.69	125.89	1.84M	0.04
2016/11/15	126.42	126.41	126.98	126.33	1.75M	-0.19
2016/11/14	126.66	127.22	127.22	125.95	2.44M	-0.4
2016/11/11	127.17	127.36	127.69	127.08	596.17K	-0.31
2016/11/10	127.56	128.09	128.5	127.3	3.05M	-0.37
2016/11/9	128.03	129.52	131	127.83	4.23M	-1.14
2016/11/8	129.5	129.84	130	129.34	1.04M	-0.26
2016/11/7	129.84	129.86	130	129.77	788.42K	-0.31
2016/11/4	130.25	130.02	130.38	129.94	1.34M	0.17
2016/11/3	130.03	130	130.31	129.8	1.08M	0
2016/11/2	130.03	129.73	130.27	129.72	1.48M	0.18
2016/11/1	129.8	129.67	129.91	129.27	1.47M	0.14
2016/10/31	129.62	129.59	129.72	129.48	1.09M	0.05
2016/10/28	129.55	129.42	129.67	129.2	1.39M	0.02
2016/10/27	129.52	129.89	129.91	129.3	1.58M	-0.32
2016/10/26	129.94	130.19	130.3	129.86	1.05M	-0.18
2016/10/25	130.17	130.14	130.31	129.94	1.04M	0
2016/10/24	130.17	130.36	130.48	130.08	807.83K	-0.13
2016/10/21	130.34	130.19	130.41	130.14	746.96K	0.05
2016/10/20	130.28	130.31	130.48	130.12	1.07M	0.01
2016/10/19	130.27	130.36	130.45	130.12	970.17K	-0.02
2016/10/18	130.3	130.14	130.36	129.98	1.12M	0.14
2016/10/17	130.12	129.8	130.2	129.7	838.46K	0.2
2016/10/14	129.86	130.14	130.22	129.77	1.22M	-0.25
2016/10/13	130.19	129.89	130.27	129.88	1.12M	0.29
2016/10/12	129.81	129.84	129.91	129.53	1.22M	-0.06
2016/10/11	129.89	129.81	130.03	129.69	1.12M	0.07
2016/10/10	129.8	130.11	130.17	129.66	299.17K	-0.2
2016/10/7	130.06	130	130.22	129.72	1.49M	0.08
2016/10/6	129.95	130.23	130.39	129.94	1.30M	-0.21
2016/10/5	130.22	130.47	130.61	130.09	1.21M	-0.21
2016/10/4	130.5	130.92	131.03	130.44	1.40M	-0.34
2016/10/3	130.95	131.22	131.23	130.91	775.03K	-0.13
2016/9/30	131.12	131.5	131.73	131.06	1.67M	-0.33
